Article,Vedette,Type vedette,Candidat,INSEE,Définition,Problème
DT42-03423,"Cornieu,",lieu détruit,portes de Saint-Chamond,non,"
lieu détruit, commune de Saint-Julien-en-Jarez. Cette localité avait donné son nom à une des portes de Saint-Chamond.",
DT42-00438,"Barges,",hameau,Près d'un lieu-dit Bargettes,non,"
hameau, commune de Saint-Jean-Soleymieux. Près d'un lieu-dit Bargettes, aujourd'hui détruit.",
DT42-01852,"Cache (La),",hameau,Près du bois de La Cache,non,"
hameau, commune de Burdignes. Près du bois de La Cache.",
DT42-01676,"Brulé (Le),",hameau,Près du Bois-du-Brulé,non,"
hameau, commune de Bouthéon. Près du Bois-du-Brulé.",
DT42-10869,Sainte-Geneviève (Chapelle).,,"près et à l'Ouest de Saint-Didier-sur-Rochefort
",42217,"Signalée par Cassini, près et à l'Ouest de Saint-Didier-sur-Rochefort
.",
DT42-07201,"Marigny,",lieu-dit,"près et à l'ouest de Saint-Symphorien-de-Lay
",42289,"
lieu-dit signalé par Cassini, près et à l'ouest de Saint-Symphorien-de-Lay
.",
DT42-04496,"Fargette (La),",maison isolée,près L'Émouloirs,non,"
maison isolée, commune d’Apinac, près L'Émouloirs.",
DT42-00217,"Asnieres,",territoire,près La Charpinière,non,"nom d'un territoire peut-être disparu, près La Charpinière, commune de Saint-Galmier.",
DT42-05193,"Gampeloup,",lieu détruit,près La Gerbodière,non,"
lieu détruit, commune de Saint-Genest-Malifaux, près La Gerbodière.",
DT42-04850,Fontfroide (Ruisseau de).,,près Les Puits,non,"Coule près Les Puits, commune de Panissières. Ce ruisseau est, semble-t-il, signalé au moyen âge sous le nom de Cureria.
      ",
DT42-04673,"Fissieux,",lieu détruit,"proche de Saint-Marcel-de-Félines
",42254,"
lieu détruit, signalé à l'est et proche de Saint-Marcel-de-Félines
, par Cassini.",
DT42-04161,"Durolle (La),",rivière,Puy-de-Dôme,non,"
rivière. Prend sa source dans la commune de Noirétable et passe dans le Puy-de-Dôme où elle se jette dans La Dore.",
DT42-07390,"Mauvoisin (Bourg),",,"quartier de Montbrison
",42147,"nom disparu d'un quartier de Montbrison
.",
DT42-10020,"Rameaux (Les),",lieu détruit,"quartier de Saint-Étienne
",42218,"
lieu détruit, aujourd'hui Sainte-Barbe, quartier de Saint-Étienne
.",
DT42-12085,"Varenna (La),",,quartiers de Roannel et de Tarentaise,non,"ancien nom des quartiers de Roannel et de Tarentaise, ville de Saint-Étienne.",
DT42-04891,"Forches (Les),",lieu détruit,Quincé,non,"
lieu détruit, commune de Bully, à Quincé.",
DT42-06874,"Luygneu,",lieu détruit,région d'Azieux,non,"
lieu détruit, dans la région d'Azieux, commune de Précieux ou de Sury-le-Comtal ?
      ",
DT42-10099,"Rechagneu,",lieu détruit,"région de Bully, Cordelle ?",non,"
lieu détruit, région de Bully, Cordelle ?
      ",
DT42-00151,"Aque Sparse (Flumen),",ruisseau,région de Chalmazel,42039,"
ruisseau dont la position exacte n'est pas connue, mais qui se trouvait dans la région de Chalmazel. Mentionné en 1201 
(Cart. des francs-fiefs, p. 24).",
DT42-07011,"Maladière (La),",lieu détruit,région de Champlas ?,non,"
lieu détruit, commune de Saint-Héand, région de Champlas ?.",
DT42-04867,"Font Oysel,",lieu détruit,région de Chavanelle,non,"
lieu détruit, commune de Saint-Étienne, région de Chavanelle.",
DT42-07589,"Minceu,",lieu détruit,région de Cleppé ?,42066,"
lieu détruit, en 
Forez
, dans la région de Cleppé ?
      ",
DT42-09098,"Pierre Martin,",lieu détruit,Région de Colombettes,non,"
lieu détruit, commune de Saint-Just-en-Bas. Région de Colombettes.",
DT42-05971,"Grenolleys,",ruisseau,région de Cussieux,non,"nom disparu d'un ruisseau coulant dans la région de Cussieux, commune de Saint-Martin-en-Coailleux.",
DT42-01508,"Bramafam,",lieu détruit,région de Frachure et d'Allyrand,non,"
lieu détruit, commune de Doizieu, dans la région de Frachure et d'Allyrand.",
DT42-10698,"Ruleu,",lieu détruit,région de La Fouillouse ?,42097,"
lieu détruit dans la région de La Fouillouse ?
      ",
DT42-04747,"Fons del Tou,",,"région de Montjonier, Fortunière",non,"nom disparu, commune de Saint-Rambert, dans la région de Montjonier, Fortunière.",
DT42-12298,"Vernoel,",lieu détruit,région de Roanne,42187,"
lieu détruit, région de Roanne, près de la rivière de Renaison.",
DT42-08559,"Ormet (L'),",lieu détruit,région des Marceaux,non,"
lieu détruit, commune de Saint-Étienne-le-Molard dans la région des Marceaux.",
DT42-01991,"Ceyse,",,région des Potiers,non,"nom disparu, commune de Villemontais, région des Potiers.",
DT42-02763,"Chavanay,",lieu détruit,région des Potiers,non,"
lieu détruit, commune de Villemontais, région des Potiers.",
DT42-03618,"Crest-du-Compas,",lieu détruit,région du château de Bélise,non,"
lieu détruit, commune de Pélussin, dans la région du château de Bélise.",
DT42-02766,"Chavanelet,",lieu détruit,région du Rond-Point et du Cours Fauriel,non,"
lieu détruit, commune de Saint-Étienne, près du ruisseau Chavanelet, dans la région du Rond-Point et du Cours Fauriel.",
DT42-00100,"Ambroniacus,",lieu indéterminé,Rive-de-Gier (?),42186,"
lieu indéterminé, peut-être l'ancien nom de Rive-de-Gier (?).",
DT42-06885,Lyonnais (Le).,Ancienne et vaste circonscription territoriale,Roannais,non,"
Ancienne et vaste circonscription territoriale dont Auguste Bernard a fixé l'étendue au 
x
e siècle par une carte (Cart. de Savigny, t. II). Le pagus ou comitatus Lugdunensis comprenait principalement, en ce qui concerne le département de la Loire : le 
Forez
 (ager Forensis), le Roannais (ager Rodanensis), le Jarez (ager Jarensis)… La formule consacrée par les actes des cartulaires de Savigny et de Cluny est généralement… in pago Lugdunense, in agro Forense… Rodanense… Jarense… Ces mentions disparaissent au 
xii
e siècle.",
DT42-10834,"Saint Didier,",lieu détruit,Roanne ou Riorges,42187/42184,"
lieu détruit, sur Roanne ou Riorges.",
DT42-07080,"Malleval (Le),",ruisseau,Roisey,42191,"
ruisseau. Prend sa source commune de Véranne, traverse celles de Roisey et de Bessey. Ses eaux se mêlent à celles du Malleval ou Bataillon dans la commune Malleval. Affluent du Rhône.",
DT42-00130,"Annonaicensis, Annonagicensis","
","Roisey, Argental",non,"Cet 
ager
 dont le chef-lieu était 
Annonay
 (Ardèche) paraît avoir compris Roisey, Argental… Son étendue est mal connue.",
DT42-08232,"Murasechi,",lieu détruit,route de Saint-Bonnet-le-Courreau à Trémollin,non,"
lieu détruit, commune de Saint-Bonnet-le-Courreau, sur la route de Saint-Bonnet-le-Courreau à Trémollin.",
DT42-03730,Croix-Courette.,Ancienne croix,Rue de la Croix-Courette,non,"
Ancienne croix de la ville de Saint-Étienne, dont le nom a été conservé par la Rue de la Croix-Courette.",
DT42-05343,"Gauds (Les),",ancien faubourg,rue des Gauds,non,"
ancien faubourg de la ville de Saint-Étienne, aujourd'hui rappelé par la rue des Gauds.",
DT42-05314,"Garolet (Le),",ruisseau,"Saint-Barthélemy-Lestra, Saint-Cyr-les-Vignes, Saint-Laurent-la-Conche",42202/42214/42251,"
ruisseau. Prend sa source commune de Saint-Martin-Lestra, traverse ensuite celles de Saint-Barthélemy-Lestra, Saint-Cyr-les-Vignes, Saint-Laurent-la-Conche et le sud de la commune de Feurs où il se jette dans la Loire. Il borde dans son bas cours, sur la commune de Saint-Laurent-la-Conche, un lieu-dit Échalon.",
DT42-04892,"Forches (Les),",lieu détruit,Saint-Christô-en-Jarez ou Sorbiers,42208/42302,"
lieu détruit, sur Saint-Christô-en-Jarez ou Sorbiers à la limite des mandements de Chagnon et de Saint-Chamond, près de Pontin.",
DT42-05137,"Furet (Le),",ruisseau,Saint-Étienne,42218,"
ruisseau. Coule dans la commune de Planfoy puis dans celle de Saint-Étienne où il se jette dans le Furan. Ce ruisseau était autrefois bordé par la localité ci-dessus, appelée Furet.",
DT42-07099,Malvalet.,ruisseau,Saint-Georges-Haute-Ville,42228,"Nom disparu d'un territoire et d'un ruisseau situés près du ruisseau de Malval, soit sur Margerie-Chantagret, soit sur Saint-Georges-Haute-Ville.",
DT42-05634,"Goutte-des-Quatre-Curés,",ruisseau,"Saint-Jodard, Saint-Priest-la-Roche, Vendranges, Neulise",42241/42277/42325/42156,"
ruisseau séparant quatre paroisses (Saint-Jodard, Saint-Priest-la-Roche, Vendranges, Neulise). Affluent de la Loire.",
DT42-11408,"Solore,","
",Saint-Laurent-en-Solore,non,"nom disparu d'un 
ager
 dont le chef-lieu se trouvait sur le Saint-Laurent-Rochefortterritoire de la commune de , autrefois Saint-Laurent-en-Solore.",
DT42-04729,"Fond Martin,",lieu détruit,Saint-Laurent-la-Conche ou Marclopt,42251/42135,"
lieu détruit sur Saint-Laurent-la-Conche ou Marclopt.",
DT42-06339,Jareison (Ruisseau de).,ruisseau,Saint-Rambert,42279,"Nom ancien du ruisseau aujourd'hui appelé par les cartes ruisseau de Notre-Dame-de-Grâce. Ce petit cours d'eau, qui prenait sa source dans la commune de Chambles et allait rejoindre le Bonson dans celle de Saint-Rambert, près du lieu dit Jareison, a vu son cours réduit au moyen-âge par la création du bief de Grillet ou ruisseau de Saint-Rambert dans lequel il se déverse près de Montjonier.",
DT42-04875,"Font Saint Martin,",région,"Sainte-Colombe, Néronde, Bussières ?",non,"nom disparu, région de Sainte-Colombe, Néronde, Bussières ?
      ",
DT42-06902,"Madeleine (Monts, forêts de la).",forêts,Sainte-Marie-Madeleine,non,Ces montagnes et ces forêts qui s'étendent au sud-ouest du canton de Saint-Haon-le-Châtel tirent leurs noms d'un ancien prieuré dédié à Sainte-Marie-Madeleine.,
DT42-00165,"Arçon (L'),",ruisseau,Saône-et-Loire,non,"
ruisseau. Traverse les communes de La Pacaudière, Vivans et passe en Saône-et-Loire.",
DT42-00198,"Aron (L'),",ruisseau ou goutte,Saône-et-Loire,non,"
ruisseau ou goutte. Passe près de Belmont et continue son cours en Saône-et-Loire.",
DT42-01360,"Botoret (Le),",ruisseau,Saône-et-Loire,non,"
ruisseau. Traverse les communes de Belleroche et de Saint-Germain-la-Montagne et passe en Saône-et-Loire, où il coule près d’un lieu-dit Botoret, commune de Tancon.",
DT42-04807,Aruelhe.,,Saône-et-Loire,non,Coule au nord de la commune de La Pacaudière et passe en Saône-et-Loire.,
DT42-05176,"Galichon (Le),",ruisseau,Saône-et-Loire,non,"
ruisseau. Coule dans la commune d’Écoche et passe en Saône-et-Loire.",
DT42-07724,Mont (Ruisseau du).,ruisseau,Saône-et-Loire,non,Ce ruisseau sert de limite aux communes de Charlieu et de Saint-Nizier-sous-Charlieu et continue son cours en Saône-et-Loire.,
DT42-08786,"Pelouse (La),",ruisseau,Saône-et-Loire,non,"
ruisseau. Traverse les communes de Sail-les-Bains et d'Urbise. Continue son cours en Saône-et-Loire.",
DT42-11306,"Sernay (Le),",ruisseau,Saône-et-Loire,non,"
ruisseau. Sert de limite à la commune d’Urbise et au département de l'Allier et continue son cours en Saône-et-Loire.",
DT42-11962,"Urbise (L'),",rivière,Saône-et-Loire,non,"
rivière. Coule dans la commune d’Urbise et continue son cours en Saône-et-Loire.",
DT42-08842,Pérouses (Côtes des).,territoire,sommet des Grands-Bois,non,"Vaste territoire signalé par Cassini au sommet des Grands-Bois, à la limite des communes de Pavezin et Chuyer, sur la ligne de partage des eaux des bassins du Rhône et de la Loire.",
DT42-06483,"Justice (La),",lieu-dit,sud de Montagneux,non,"
lieu-dit, signalé par Cassini dans la paroisse de Moingt
, au sud de Montagneux.",
DT42-08712,"Pasqualeyra,",lieu détruit,sud de Trémolin,non,"
lieu détruit, commune de La Ricamarie au sud de Trémolin, près du Bessy de Cotatay.",
DT42-01075,"Bois-de-Chambeton,",bois,"sud-ouest de Cervières
",42034,"
bois, au sud-ouest de Cervières
, dont le nom a disparu des cartes.",
DT42-05077,Fraulx (Montagnes des).,groupe de montagnes,"sud-ouest de Sauvain
",42298,"Nom porté par un groupe de montagnes au sud-ouest de Sauvain
, qui sont appelées Montaignes des Fraulx, en 1532. Ce vaste territoire comprenait à la même date les boys des Montaignes de Chorsin, Degarin et Glilisola 
(Bullet. de la Diana, t. IV, p. 252).",
DT42-07477,"Merduruel,",ruisseau,Valeille ou Saint-Barthélemy-Lestra,42319/42202,nom disparu (?) d'un ruisseau coulant sur Valeille ou Saint-Barthélemy-Lestra.,
DT42-06343,Jarez (Le).,,vallée du Gier,non,"Le Garensis ou Jarensis ager in pago Lugdunensi, s'étendait sur une région étendue comprenant la vallée du Gier et des territoires voisins. On peut se rendre compte de son importance en prenant 459pour base le pouillé de l'archiprêtré de Jarez de 1225 
(Longnon, Pouillés, p. 1 et ss.). Le chef-lieu de cet 
ager
 est inconnu.",
DT42-04893,"Forches (Les),",lieu détruit,Vaure,non,"
lieu détruit, commune de Sorbiers, à La Vaure.",
DT42-03929,"Cunacus,",localité disparue,,non,"
localité disparue en Roannais?
      ",
DT42-11411,"Soulodro,",lieu détruit,,non,"
lieu détruit, en Roannais?
      ",
