Article,Vedette,Type vedette,Candidat,INSEE,Définition,
DT11-03163,"Clot-de-Matali (Le),",col,Mountfri,non,"
col entre le Mountfri et le Sarrat de Missol, commune de Cubières.",
DT11-03837,"Croix-des-Pujols (La),",oratoire,Munès,non,"
oratoire, commune d’Aunat, à l’intersection des chemins de Munès et de Quillan.",
DT11-06556,"Lafitte,",ancien moulin à eau,Murelle,non,"
ancien moulin à eau, à la Murelle, commune de Roquefort-des-Corbières.",
DT11-12642,"Saint-Julien,",ancienne église,murs de Narbonne,11262,"
ancienne église sous les murs de Narbonne.",
DT11-02615,"Casteillassès (Les),",ancien château,N. de Belvianes,11035,"
ancien château au N. de Belvianes et sur la rive gauche de l’Aude.",
DT11-03816,"Croix-de-Saint-Étienne (La),",oratoire,N. de la Cité,non,"
oratoire, commune de Carcassonne, qui rappelle l’église et le faubourg de ce nom, au N. de la Cité.",
DT11-02597,"Cassés-Vieux (Les),",localité disparue,N. des Cassés,11074,"
localité disparue au N. des Cassés, et qui a dû précéder le village actuel, 1330 
(arch. Aude, H 421).",
DT11-12727,"Saint-Martial,",ancien prieuré,N.-D. de la Daurade,non,"
ancien prieuré, commune de Belpech, uni d’abord à N.-D. de la Daurade (Toulouse), puis à la mense épiscopale de cette ville.",
DT11-06495,"Lacanal,",montagne,N.-O. de Limoux,11206,"
montagne, au N.-O. de Limoux et sur laquelle était élevée la ville primitive, commune de Limoux ; celle-ci fut détruite deux fois, en 1165 et en 1190 
(arch. com. Limoux, AA 2, f. 77).",
DT11-10127,"Peyrepertusès (Le),",territoire,Narbonnais,non,"
territoire que les documents désignent tantôt comme un pagus distinct, tantôt comme un suburbium du Razès ou du Narbonnais.",
DT11-10917,"Pujol-Redon,",montagne,nord d’Arquettes,11016,"
montagne (313m), au nord d’Arquettes.",
DT11-07120,"Linas (Le),",ancien fief,Notre-Dame-de-Bidorles,non,"
ancien fief compris entre Ginoles, Notre-Dame-de-Bidorles et le château de Mirailles.",
DT11-12277,"Sainte-Marguerite,",ancienne chapelle,Notre-Dame-du-Cros,non,"
ancienne chapelle à Notre-Dame-du-Cros, commune de Caunes.",
DT11-02640,"Castel-des-Hortes,",ruines,O. de Belvis,11036,"
ruines indiquées par Cassini à l’O. de Belvis.",
DT11-02954,"« Cedros »,",station,O. de Carcassonne,non,"
station marquée sur l’itinéraire de Bordeaux à Jérusalem, à 8 milles à l’O. de Carcassonne.",
DT11-01548,"Bourbel (Le),",chapelle rurale,O. de Nentilla,non,"
chapelle rurale, commune du Clat, à l’O. de Nentilla.",
DT11-13048,"Saint-Sauveur,",ancienne chapelle,Obit,non,"
ancienne chapelle entre l’Obit et Cayréjac, commune de Verdun, fondée en 1507 par noble Jean d’Antin (arch. Aude, B 2135).",
DT11-03981,"du Midi,",canal,Océan,non,"
canal qui unit la Méditerranée à l’Océan ; projeté sous François Ier, il ne fut entrepris qu’en 1666, sous Louis XIV, par Paul Riquet.",
DT11-03035,"Château-Vieux (Le),",ruines de l’ancien château féodal,Olivier de Termes,non,"
ruines de l’ancien château féodal d’Olivier de Termes, commune de Termes, démoli en 1652.",
DT11-05020,"Forest (Le),",subdivision,Olmez,non,"
subdivision 
du pagus Tolosanus, limitée au Nord par la Vixiège et la Piège ; à l’Est par le Razès proprement dit ; à l’Ouest par l’Hers ; au Sud par l’Olmez et la viguerie de Queille.",
DT11-10281,"Piquenaurus (Sarrat de),",montagne,Opoul,non,"
montagne, commune de Fitou, à la limite d’Opoul (Pyrénées-Orientales).",
DT11-14099,"Trois-Croix (Les),",point,Opoul,66127,"
point de contact des communes de Fitou, Treilles (Aude) et Opoul (Pyrénées-Orientales).",
DT11-11192,"Rec-Aiguière (Le),",ruisseau,Orbieu,non,"
ruisseau qui reçoit les eaux du village pour les conduire à l’Orbieu, commune de Ribaute.",
DT11-05062,"Fort (Le),",quartier du village,Ouveillan-le-Bas,non,"
quartier du village, commune d’Ouveillan ; de là la distinction d’Ouveillan-le-Haut et d’Ouveillan-le-Bas.",
DT11-05062,"Fort (Le),",quartier du village,Ouveillan-le-Haut,non,"
quartier du village, commune d’Ouveillan ; de là la distinction d’Ouveillan-le-Haut et d’Ouveillan-le-Bas.",
DT11-11181,"Rébenty (Étang de),",source,Pailhères,non,"
source du Rébenty, aux crêtes des Pailhères, commune de la Fajolle.",
DT11-03046,"Chemin-de-la-Montagne,",route,Paretlongue,non,"
route que l’on trouve depuis Carcassonne, à Paretlongue, à Villemoustaussou, d’une part ; d’autre part, à Ugnac, où elle bifurque sur Fontiers-Cabardès, par Ventenac-Cabardès, et à Fraisse-Cabardes.",
DT11-09216,"Notre-Dame-de-Marceille,",prieuré,Paris,non,"
chapelle rurale votive, commune de Limoux ; prieuré uni d’abord au collège de Narbonne, à Paris ; puis à celui des Doctrinaires de Limoux jusqu’à la Révolution.",
DT11-08132,"Monestiès,",ancienne paroisse,paroisse de Cennes,non,"
ferme, commune de Cennes-Monestiès ; anc. communauté et consulat ; ancienne paroisse sous le vocable de saint Martin, jusqu’au 5 septembre 1756, date de son annexion à la paroisse de Cennes ; le bénéfice-cure était annexé à l’office de chambrier de l’abbaye de Montolieu ; sénéchaussée de Carcassonne.",
DT11-07267,"Magrie,",ancien décimaire,paroisse de Labastide-Rougepeyre,non,"
ancien décimaire sous le vocable de sainte Cécile, paroisse de Labastide-Rougepeyre ; aujourd’hui lieu dit, commune d’Aragon, sect. D.",
DT11-04194,"Escar (L’),",ancien fief,paroisse de Lamourguier,non,"
ancien fief de l’archevêque de Narbonne, commune de Narbonne, paroisse de Lamourguier.",
DT11-10866,"Provincia Galliarum,",,partie de la Narbonnaise,non,nom donné par les Visigoths à la partie de la Narbonnaise qu’ils conservèrent en deçà des Pyrénées.,
DT11-09138,"Notre-Dame,",ancien décimaire,Pas de la Sant Peyre,non,"
ancien hospice de Montreal ; ancien décimaire qui comprenait les lieux dits : Courral, Saint-Antoine, la Salle, al Pas de la Sant Peyre, la Poularie, la Garrigue, la Caussade, Pechatiale, al Mouly, Saint-André, Belmati, les Planes, 1764 
(arch. Aude, H 415).",
DT11-00177,"Alsou (L’),",rivière,Pas-de-Madame,non,"
rivière qui prend sa source au Pas-de-Madame, commune de Villar-en-Val, arrose Labastide-en-Val, Villetritouls, Servies-en-Val, Rieux-en-Val, et se jette dans l’Orbieu à Lagrasse.",
DT11-03057,"Quiercorbès,",pays montagneux,pays de Mirepoix,non,"
pays montagneux qui tire son nom du château de Chercorb ; il était situé dans la partie méridionale du pays de Mirepoix, sur la rive droite de l’Hers.",
DT11-02997,"Chandelier (Le),",col,pays de Sault,non,"
col, au midi de Lescales, commune de Puivert, qui donne passage au chemin du pays de Sault.",
DT11-09368,"Oustal-Nau (L’),",ferme ruinée,pays de Sault,non,"
ferme ruinée, commune de Belvis, sur l’ancien chemin du pays de Sault.",
DT11-09976,"Perrucel,",col,pays de Sault,non,"
col, commune de Belcaire, entre le pic des Sarrazis au midi, la Fréchenouse et le bois de Monbézia au nord ; il donne passage au chemin du pays de Sault à Foix.",
DT11-11183,"Rébenty (Vallée du),",circonscription,pays de Sault,non,"
circonscription purement nominale, bornée par le pays de Sault et par l’Aude.",
DT11-09640,"Pech (Le),",ancienne église rurale,Pech,non,"
localité disparue, commune de Fontanès ; ancienne église rurale, qui desservait le Pech, Sarrabiau et Barrencou, hameaux incendiés par les Espagnols sous Louis XII.",
DT11-14131,"Trou-des-Aigues (Le),",grotte sans intérêt géologique,pech de l’Agnélo,non,"
grotte sans intérêt géologique, au pech de l’Agnélo, commune de Narbonne.",
DT11-14134,"Trou-de-Viviès (Le),",grotte sans intérêt géologique,pech de l’Agnélo,non,"
grotte sans intérêt géologique, au pech de l’Agnélo, commune de Narbonne.",
DT11-01987,"Cadorque,",ancien domaine,pech de Montveyre,non,"
localité disparue, aujourd’hui tènement rural, commune de Fontjoncouse, sect. A et C ; ancien domaine de l’abbaye de Fontfroide qui s’étendait depuis Fontjoncouse, le pech de Montveyre et le terroir de Salabert jusqu’au terroir de Durban ; ancien prieuré sous le vocable de saint Pierre.",
DT11-00965,"Belvianes (Couillade de),",col,Pech-de-Laxet,non,"
col légèrement infléchi entre Cap-de-Fer et le Pech-de-Laxet, communes de Saint-Martin-Lys et de Puilaurens.",
DT11-09138,"Notre-Dame,",ancien décimaire,Pechatiale,non,"
ancien hospice de Montreal ; ancien décimaire qui comprenait les lieux dits : Courral, Saint-Antoine, la Salle, al Pas de la Sant Peyre, la Poularie, la Garrigue, la Caussade, Pechatiale, al Mouly, Saint-André, Belmati, les Planes, 1764 
(arch. Aude, H 415).",
DT11-12506,"Saint-Jacques,",ancien hôpital,Pèlerins,non,"
ancien hôpital des Pèlerins, fondé par Isabelle de Lévis, et contigu à Notre-Dame de la Santé ; ancien cimetière, commune de Carcassonne.",
DT11-12802,"Saint-Martin-des-Cours,",ancien prieuré,Pelletier,non,"
ancien prieuré, uni à l’abbaye de Lagrasse, commune de Puichéric ; son territoire comprenait Saint-Martin, Pelletier et la métairie de Madame.",
DT11-02268,"Canal de Niquet,",restes d’un canal,Perpignan,non,"
restes d’un canal que cet ingénieur avait commencé de construire à travers l’étang de Lapalme, de la Nouvelle à Perpignan.",
DT11-07466,"Mandirac,",ancienne saline,Perpignan,non,"
ferme, commune de Narbonne ; ancienne saline ; halte du chemin de fer de Narbonne à Perpignan.",
DT11-10477,"Pont-de-Balouard (Le),",lieu dit,Perpignan,non,"
lieu dit, pont sur le ruisseau de Ginestas, à la limite des communes de Portel et de Roquefort-des-Corbières, donnant passage à l’ancien chemin de Narbonne à Perpignan.",
DT11-09466,"Paradis,",lieu dit et fontaine,Petit-Cap,non,"
lieu dit et fontaine, entre le Grand-Cap et le Petit-Cap, commune de Leucate.",
DT11-14272,"Usine (L’),",dépendance,Petit-Caumont,non,"
dépendance du Petit-Caumont, commune de Lézignan.",
DT11-14299,"Valaurie (La),",lieu dit,Peyriac,11286,"
lieu dit, entre Peyriac et Rieux-Minervois.",
DT11-00043,"Agly (L’),",rivière,pic de Bugarach,non,"
rivière qui prend sa source au pic de Bugarach, arrose Camps et entre dans les Pyrénées-Orientales à Saint-Antoine-de-Galamus.",
DT11-13728,"Tauze (La),",tour,pic de Bugarach,non,"
tour, au sommet du pic de Bugarach (1,266m).",
DT11-04917,"Font-d’Argent,",source au flanc,pic de la Fajolle,non,"
lieu dit, commune de Mérial ; source au flanc du pic de la Fajolle (2,027m).",
DT11-13865,"Tolnéou (Col de),",passage,pic de Laguzou,non,"
passage entre le pic de Laguzou (1,382m) et le pic de Montaurat (1,254m), commune d’Escouloubre ; il rappelle une localité disparue.",
DT11-13865,"Tolnéou (Col de),",passage,pic de Montaurat,non,"
passage entre le pic de Laguzou (1,382m) et le pic de Montaurat (1,254m), commune d’Escouloubre ; il rappelle une localité disparue.",
DT11-11400,"Rieumajou (Le),",ruisseau,pic de Nore,non,"
ruisseau qui descend du pic de Nore, sert de limite aux départements de l’Aude et du Tarn et se jette dans l’Arnette, commune de Pradelles-Cabardès.",
DT11-04588,"la Caune,",grotte,pic des Cayroles,non,"
grotte double près du roc Rouge et du pic des Cayroles, commune de Nébias.",
DT11-09976,"Perrucel,",col,pic des Sarrazis,non,"
col, commune de Belcaire, entre le pic des Sarrazis au midi, la Fréchenouse et le bois de Monbézia au nord ; il donne passage au chemin du pays de Sault à Foix.",
DT11-00330,"Arques (Les),",col,Pic Naurous,non,"
col entre la Marque et le Pic Naurous, commune de Fitou ; limite du département entre Fitou et Salces (Pyrénées-Orientales).",
DT11-14061,"Triby (Le),",col,Picoul,non,"
col, entre le Picoul de la Gardie et le Sarrat de la Horte, commune d’Aunat.",
DT11-00041,"« Agatanet »,",villa disparue,Piège,non,"
villa disparue, dans la Piège ; elle était unie au prieuré de Peyrefite-sur-l’Hers, et par lui au prieuré de Camon et à l’abbaye de Lagrasse.",
DT11-03852,"Croix-Traoucade (La),",oratoire,Piquemoure,non,"
oratoire sur le chemin de Piquemoure, à la limite des communes de Montferrand et de Montmaur.",
DT11-00084,"Aiguesmortes,",ancien fief,plaine de Mayrevieille,non,"
ancien fief de l’évêque de Carcassonne, sur la rive droite de l’Aude, dans la plaine de Mayrevieille, commune de Carcassonne.",
DT11-03044,"Chemin-de-la-Montagne,",route,plaine du Lauraguais,non,"
route qui donnait accès de la plaine du Lauraguais à la montagne dans l’ancien diocèse de Saint-Papoul.",
DT11-09138,"Notre-Dame,",ancien décimaire,Planes,non,"
ancien hospice de Montreal ; ancien décimaire qui comprenait les lieux dits : Courral, Saint-Antoine, la Salle, al Pas de la Sant Peyre, la Poularie, la Garrigue, la Caussade, Pechatiale, al Mouly, Saint-André, Belmati, les Planes, 1764 
(arch. Aude, H 415).",
DT11-03847,"Croix-du-Saint-Sépulcre (La),",oratoire,Pont,non,"
oratoire, entre la Métairie-Basse et le Pont, commune de Pennautier ; il rappelle une église du Saint-Sépulcre disparue.",
DT11-13057,"la Clauze,",ancienne église,Pont,non,"
lieu dit, commune de Pennautier ; une croix y rappelle une ancienne église qui s’élevait entre la Métairie-Basse et le Pont 
(Viguerie, II, 755).",
DT11-09122,"Notre-Dame,",ancien faubourg,Pont-Vieux,non,"
ancien faubourg de la Ville-Basse, rive gauche de l’Aude, entre le Pont-Vieux et le Boulevard, commune de Carcassonne.",
DT11-10562,"Porte-de-Laurac (La),","lieu dit, ancienne porte",Porte,non,"
lieu dit, ancienne porte, commune de Narbonne ; cette porte mettait en communication le faubourg de Belvèze avec la Cité, entre la Porte de Coiran et la Porte-Roy.",
DT11-02687,"Catalans (Port des),",ancien quai,porte Sainte-Catherine,non,"
ancien quai sur la Robine, en dehors de la porte Sainte-Catherine, commune de Narbonne.",
DT11-10620,"Porte-Raymond-Jean (La),","lieu dit, ancienne porte",Porte-Connétable,non,"
lieu dit, ancienne porte, commune de Narbonne ; supprimée en 1608, elle fut remplacée par la Porte-Connétable, aujourd’hui Porte-de-Perpignan.",
DT11-10620,"Porte-Raymond-Jean (La),","lieu dit, ancienne porte",Porte-de-Perpignan,non,"
lieu dit, ancienne porte, commune de Narbonne ; supprimée en 1608, elle fut remplacée par la Porte-Connétable, aujourd’hui Porte-de-Perpignan.",
DT11-10562,"Porte-de-Laurac (La),","lieu dit, ancienne porte",Porte-Roy,non,"
lieu dit, ancienne porte, commune de Narbonne ; cette porte mettait en communication le faubourg de Belvèze avec la Cité, entre la Porte de Coiran et la Porte-Roy.",
DT11-00697,"Barry (Le),",ancien faubourg,Porte-Saint-Paul,non,"
ancien faubourg hors la Porte-Saint-Paul, commune de Narbonne.",
DT11-09138,"Notre-Dame,",ancien décimaire,Poularie,non,"
ancien hospice de Montreal ; ancien décimaire qui comprenait les lieux dits : Courral, Saint-Antoine, la Salle, al Pas de la Sant Peyre, la Poularie, la Garrigue, la Caussade, Pechatiale, al Mouly, Saint-André, Belmati, les Planes, 1764 
(arch. Aude, H 415).",
DT11-02094,"Cambes (Les),",ancien fief,Prouille,non,"
ferme, commune de Brézilhac ; ancien fief de Prouille.",
DT11-02269,"Canal-de-Périé,",lieu dit,Prouille,11136,"
lieu dit, entre Prouille et Villasavary.",
DT11-03036,"Château-Vieux (Le),",château primitif,Prouille,non,"
château primitif de Prouille ; ancien décimaire, commune de Fanjeaux.",
DT11-03472,"Costecaude,",lieu dit,Prouille,non,"
lieu dit entre Prouille et Fanjeaux.",
DT11-04272,"Espines-Amples,",ancien fief,Prouille,non,"
ancien fief de Prouille, au décimaire de Tonneins, commune de Lasserre.",
DT11-09743,"Pech-des-Caux,","lieu dit, ancien fief",Prouille,non,"
lieu dit, ancien fief de Prouille, au terroir de Besplas, commune de Villasavary.",
DT11-10866,"Provincia Galliarum,",,Pyrénées,non,nom donné par les Visigoths à la partie de la Narbonnaise qu’ils conservèrent en deçà des Pyrénées.,
DT11-00043,"Agly (L’),",rivière,Pyrénées-Orientales,non,"
rivière qui prend sa source au pic de Bugarach, arrose Camps et entre dans les Pyrénées-Orientales à Saint-Antoine-de-Galamus.",
DT11-00869,"Bedau,",col,Pyrénées-Orientales,non,"
col, commune de Saint-Louis-de-Parahou, à la limite de l’Aude et des Pyrénées-Orientales.",
DT11-01538,"Boulzane (La),",rivière,Pyrénées-Orientales,non,"
rivière, affluent de l’Agly, prend sa source dans l’Aude qu’il traverse pendant 18 kilomètres, arrose Montfort, Gincla, Salvezines, Puilaurens, Lapradelle et entre dans les Pyrénées-Orientales.",
DT11-01969,"Cabronne,",montagne,Pyrénées-Orientales,non,"
montagne, commune de Duilhac, limite de l’Aude et des Pyrénées-Orientales.",
DT11-03166,"Clot-d’Espagne (Le),",montagne,Pyrénées-Orientales,non,"
montagne, commune de Montfort, à la limite du département de l’Aude et de celui des Pyrénées-Orientales.",
DT11-03796,"Croix-de-Malpas (La),",oratoire,Pyrénées-Orientales,non,"
oratoire, commune de Fitou, point de division de l’Aude et des Pyrénées-Orientales.",
DT11-03805,"Croix-de-Paloubi (La),",oratoire,Pyrénées-Orientales,non,"
oratoire, commune de Montfort, à la limite de l’Aude et des Pyrénées-Orientales.",
DT11-03845,"Croix-du-Col-de-Jau (La),",oratoire,Pyrénées-Orientales,non,"
oratoire, commune de Counozouls, à la limite de l’Aude et des Pyrénées-Orientales.",
DT11-04611,"Félines-en-Sault,",localité,Pyrénées-Orientales,non,"
localité mentionnée une seule fois et que l’on ne saurait identifier, car il n’exista jamais de localité de ce nom dans le pays de Sault ; il s’agit probablement de Feilhuns-en-Fenouillèdes, aujourd’hui Pyrénées-Orientales.",
DT11-14426,"Verdouble (Le),",rivière,Pyrénées-Orientales,non,"
rivière, affluent de l’Agly, arrose Soulatge, Rouffiac-des-Corbieres, Duilhac, Padern, Paziols, et entre dans les Pyrénées-Orientales après un parcours de 27 kilomètres dans l’Aude.",
DT11-07379,"Malepague,",ancienne prison,quartier de Belvèze,non,"
ancienne prison pour les débiteurs vis-à-vis des cours du Grand et du Petit Scel de Montpellier et de Carcassonne, au quartier de Belvèze, commune de Narbonne.",
DT11-03172,"Clotte (La),",ancien moulin,quartier de Bourg,non,"
ancien moulin sur la Robine, quartier de Bourg, commune de Narbonne.",
DT11-06088,"Horts-Saint-Paul (Les),",lieu dit,quartier de Bourg,non,"
lieu dit, commune de Narbonne, quartier de Bourg.",
DT11-07343,"Maladrerie-de-Bourg (La),",ancien hôpital des lépreux,quartier de Bourg,non,"
ancien hôpital des lépreux, quartier de Bourg, commune de Narbonne ; sa chapelle était sous le vocable de la sainte Vierge, quand il était intra muros 
(1189 à 1305 ; cf. H. L., V, col. 1604) ; de saint Mathieu, quand il fut bâti en dehors des remparts.",
DT11-08781,"Moulin-d’en-Portel (Le),",ancien moulin,quartier de Bourg,non,"
ancien moulin sur la Robine, au quartier de Bourg, commune de Narbonne, 1343-1639 
(arch. com. Narb., Invent. Rocq., I, 165).",
DT11-09184,"Notre-Dame-de-Grâce,",lieu dit,quartier de Bourg,non,"
lieu dit, dans la paroisse de Lamourguier, quartier de Bourg, commune de Narbonne.",
DT11-09200,"Notre-Dame-de-la-Mourguier,",ancienne paroisse,quartier de Bourg,non,"
ancienne paroisse, quartier de Bourg, commune de Narbonne ; ancien prieuré régulier de l’ordre de Saint-Benoît.",
DT11-12513,"Saint-Jacques,",ancien hospice,quartier de Bourg,non,"
ancien hospice, commune de Narbonne, quartier de Bourg, près de l’ancienne porte de Perpignan, uni à l’ordre de Saint-Lazare, puis à la maladrerie de Narbonne, enfin en 1695-1697 à l’Hôpital général (arch. hospit. Narb., A 14 à 18).",
DT11-14476,"Veyret (Gué du),",lieu dit,quartier de Bourg,non,"
lieu dit, au quartier de Bourg, commune de Narbonne ; ancien gué donnant passage, sur le Veyret, à l’estrade de Narbonne à Lagrasse, aujourd’hui Ancien chemin de la Corbière.
      ",
DT11-00155,"Aldebran,",ancien fief,quartier de Cité,non,"
ancien fief des Templiers, au quartier de Cité, terroir de Saint-Vincent, commune de Carcassonne.",
DT11-01162,"Birot,",ferme,quartier de Cité,non,"
ferme, au quartier de Cité, commune de Carcassonne.",
DT11-01665,"Bousquet (Le),",lieu dit,quartier de Cité,11262,"
lieu dit, ancien faubourg de Narbonne, quartier de Cité.",
DT11-03123,"Claus-de-la-Major (Le),",partie,quartier de Cité,11262,"
partie des anciens faubourgs de Narbonne, au quartier de Cité.",
DT11-05811,"Gravette (La),",cimetière nouveau,quartier de Cité,non,"
ferme, commune de Carcassonne ; cimetière nouveau au quartier de Cité.",
DT11-09197,"Notre-Dame-de-la-Major,",ancienne paroisse,quartier de Cité,non,"
ancienne paroisse, au quartier de Cité, commune de Narbonne ; rectorie unie à la mense du chapitre de Saint-Just.",
DT11-12024,"Saint-Augustin,",lieu dit,quartier de Cité,non,"
lieu dit, quartier de Cité, commune de Narbonne.",
DT11-12514,"Saint-Jacques,",ancien hospice,quartier de Cité,non,"
ancien hospice, commune de Narbonne, quartier de Cité, contigu à la Porte-Roy ou de Béziers.",
DT11-12675,"Saint-Laurent,",hôpital et cimetière,quartier de Cité,non,"
ancienne église rebâtie en 1771, hôpital et cimetière de la Maladrerie, au quartier de Cité, commune de Narbonne.",
DT11-14576,"Vignemourrut,",lieu dit,quartier de Cité,non,"
lieu dit, au quartier de Cité, commune de Narbonne.",
DT11-08295,"Montjudaïc,",ancienne cité,quartier de Coiran et de Belvèze,non,"
ancienne cité des Juifs, au quartier de Coiran et de Belvèze, commune de Narbonne.",
DT11-02186,"Campanac,",villa disparue,quartier de Fabas,non,"
villa disparue, au quartier de Fabas, commune de Laure.",
DT11-09827,"Pechredon,",château moderne et ferme,quartier de Grèzes,non,"
château moderne et ferme, commune de Carcassonne, quartier de Grèzes, et commune de Pezens.",
DT11-12308,"Sainte-Marie-de-Bourg,",chapelle aujourd’hui détruite,quartier de la Cité,non,"
chapelle aujourd’hui détruite, commune de Carcassonne, ville basse, qu’on appela plus tard Sainte Marie de l’Officialité, et qu’il faut distinguer de Sainte-Marie-du-Sauveur ou Notre-Dame-de-l’Abbaye qui était au quartier de la Cité.",
DT11-12352,"Saint-Étienne,",ferme,quartier de la Cité,non,"
ferme, commune de Carcassonne, quartier de la Cité.",
DT11-12882,"Saint-Paul,",jardin et chalet,quartier de la Cité,non,"
jardin et chalet, au quartier de la Cité, commune de Carcassonne.",
DT11-13204,"Sallèles,",ferme,quartier de la Cité,non,"
ferme, commune de Carcassonne, quartier de la Cité.",
DT11-09846,"Pech-Saint-Étienne,",lieu dit,quartier de la Trivalle,non,"
lieu dit, au quartier de la Trivalle, commune de Carcassonne.",
DT11-04473,"Fages,",ferme,quartier de Maquens,non,"
ferme, au quartier de Maquens, commune de Carcassonne.",
DT11-13270,"Sapinière (La),",ferme et chalet,quartier de Maquens,non,"
ferme et chalet, commune de Carcassonne, au quartier de Maquens.",
DT11-02199,"Camp-de-Chol-de-Magne,",ancien fief,quartier de Marmorières,non,"
ancien fief, au quartier de Marmorières, commune de Vinassan.",
DT11-05120,"Four-du-Ram (Le),",ruines,quartier de Montpézat,non,"
ruines, au quartier de Montpézat, commune de Roquefort-des-Corbières.",
DT11-12799,"Saint-Martin-de-Poursan,",ferme,quartier de Montredon,non,"
ferme, commune de Carcassonne, au quartier de Montredon.",
DT11-11823,"Rousseille (La),",partie,quartier de Notre-Dame-de-Bon-Voyage,non,"
partie de l’étang de Leucate, quartier de Notre-Dame-de-Bon-Voyage, commune de Leucate.",
DT11-11979,"Saint-André-de-Lassens,",ancien décimaire,quartier de Pech-Ginestas,non,"
ancien décimaire, au quartier de Pech-Ginestas, commune de Castelnaudary, uni depuis 1318 à la mense épiscopale de Saint-Papoul.",
DT11-08102,"Molière,",col,quartier de Pechlat,non,"
col, entre Lagrasse et Ribaute, au quartier de Pechlat.",
DT11-12404,"Saint-Eugène,",lieu dit,quartier de Rascous,non,"
lieu dit, commune de Villasavary, sect. C, au quartier de Rascous.",
DT11-07282,"Mairac,",ancienne communauté,quartier de Rive-d’Aude,non,"
ferme, commune de Capendu ; ancienne communauté du quartier de Rive-d’Aude, diocèse de Carcassonne, jusqu’en 1791 ; ancienne paroisse sous le vocable de saint Étienne, unie au chapitre Saint-Nazaire de Carcassonne.",
DT11-07407,"Malevieille,",lieu dit,quartier de Saint-Eugène,non,"
lieu dit, sur l’ancien chemin romain, au quartier de Saint-Eugène, commune de Rieux-Minervois.",
DT11-06807,"Laurac,",lieu dit,quartier de Saint-Félix,non,"
lieu dit, au quartier de Saint-Félix, commune de Narbonne.",
DT11-03779,"Croix-de-las-Réfachados (La),",ancien oratoire,quartier de Saint-Gimer,non,"
ancien oratoire, commune de Carcassonne, au quartier de Saint-Gimer.",
DT11-11262,"Réfachades (Les),",place publique et croix,quartier de Saint-Gimer,non,"
place publique et croix, au quartier de Saint-Gimer, commune de Carcassonne.",
DT11-12445,"Saint-François,",villa,quartier de Saint-Gimer,non,"
villa au quartier de Saint-Gimer, commune de Carcassonne ; ancienne tuilerie.",
DT11-06093,"Hôtelleries (Les),",lieu dit,quartier de Saint-Laurent,non,"
lieu dit au quartier de Saint-Laurent, commune de Conques.",
DT11-13736,"Teinturerie (La),",ancienne usine,quartier de Saint-Laurent,non,"
ancienne usine sur l’Orbiel, au quartier de Saint-Laurent, commune de Conques.",
DT11-09248,"Notre-Dame-des-Cinq-Plaies,",ancienne chapelle,quartier de Saint-Paul,non,"
ancienne chapelle des Pénitents Blancs, alors contiguë à l’Hôtel-Dieu, quartier de Saint-Paul, commune de Narbonne.",
DT11-10550,"Porte-de-Capdepla (La),","lieu dit, ancienne porte",quartier de Saint-Paul,non,"
lieu dit, ancienne porte, au quartier de Saint-Paul, commune de Narbonne.",
DT11-12862,"Saint-Nazaire,",ancienne chapelle,quartier de Saint-Paul,non,"
ancienne chapelle, au quartier de Saint-Paul, au point de jonction des anciennes rues S.-Nazaire et S.-Esprit (aujourd’hui rue Rabelais), commune de Narbonne.",
DT11-02436,"Capucins (Les),",ancienne dénomination,quartier de Sainte-Gracieuse,non,"
ancien couvent ; ancienne dénomination du quartier de Sainte-Gracieuse, commune de Carcassonne.",
DT11-12622,"Saint-Joseph,",ferme,quartier de Salvaza,non,"
ferme, au quartier de Salvaza, commune de Carcassonne.",
DT11-04533,"Faliéra,",concession minière,quartier de Serremijeane,non,"
concession minière de 71 hectares, au quartier de Serremijeane, communes d’Albas et de Cascastel.",
DT11-13174,"Salimon,",concession minière,quartier de Serremijeanne,non,"
concession minière au quartier de Serremijeanne, communes d’Albas et de Cascastel.",
DT11-00799,"Bataillole (La),",localité disparue,quartier de Terre-de-Dieu,non,"
localité disparue, au quartier de Terre-de-Dieu, commune des Martys.",
DT11-14021,"Tréguine,",ferme disparue,quartier de Tournebouis,non,"
ferme disparue, au quartier de Tournebouis, commune de Bourigeole.",
DT11-07257,"Magasin (Le),",dépendance,quartier de Truilhas,non,"
dépendance du canal du Midi, au quartier de Truilhas, commune de Sallèles-d’Aude.",
DT11-14214,"Tuilerie (La),",ancienne briqueterie,quartier de Truilhas,non,"
ancienne briqueterie, au quartier de Truilhas, commune de Sallèles-d’Aude.",
DT11-12883,"Saint-Paul,",jardin potager,quartier de Villalbe,non,"
jardin potager, au quartier de Villalbe, commune de Carcassonne.",
DT11-09244,"Notre-Dame-des-Barques,",ancien oratoire,quartier de Villeneuve,non,"
lieu dit, sans doute ancien oratoire au quartier de Villeneuve, commune de Narbonne.",
DT11-05351,"Gardie (La),",ferme,quartier de Villesèque-Basse,non,"
ferme, commune d’Alairac, au quartier de Villesèque-Basse.",
DT11-12268,"Sainte-Madeleine,",ancienne église,quartier des Cabanes,non,"
ancienne église, au quartier des Cabanes, commune de Fitou ; œil de mer.",
DT11-14275,"Usine-à-Soufre (L’),",écart,quartier du Gua,non,"
écart, commune de Narbonne, quartier du Gua.",
